order_id,order_date,ship_date,customer_name,segment,city,state,category,sub_category,product_name,sales,quantity,discount,profit
ORD46,2019/02/15,25 Apr 2020,Amit,Consumer,,,,Binders,,error,2,1.5,
ORD47,12-01-2019,,,Corporate,Jaipur,Rajasthan,,Phones,iPhone,error,6,-0.2,
ORD48,15 Mar 2020,25 Apr 2020,,Consumer,jaipur ,,,Phones,iPhone,2500.50,8,0.1,loss
ORD49,12-01-2019,20-01-2019,Amit,Corporate,Delhi,Rajasthan,Technology,Chairs,Binder Set,2500.50,7,1.5,-200
ORD50,12-01-2019,2020/03/20,Rahul Meel,Home Office,Delhi,Delhi,Office Supplies,Binders,Office Chair,2500.50,-5,,loss
ORD51,12-01-2019,25 Apr 2020,Amit,,DELHI,RAJASTHAN,Office Supplies,Phones,,1000,-5,1.5,
ORD52,15 Mar 2020,20-01-2019,Unknown,,Delhi,RAJASTHAN,Technology,Binders,Binder Set,1000,-3,1.5,
ORD53,15 Mar 2020,20-01-2019,,Home Office,Delhi,RAJASTHAN,,Phones,iPhone,,11,1.5,-200
ORD54,2019/02/15,,Amit,Corporate,Jaipur,,,,Office Chair,error,10,0,-200
ORD55,15 Mar 2020,25 Apr 2020,Unknown,Corporate,jaipur ,Rajasthan,Technology,,,2500.50,12,0,-200
ORD56,15 Mar 2020,,Rahul Meel,Home Office,,Delhi,Office Supplies,Phones,Binder Set,1000,6,0,loss
ORD57,12-01-2019,25 Apr 2020,Amit,Consumer,,Rajasthan,Technology,Binders,iPhone,,4,,-200
,2019/02/15,2020/03/20,,Consumer,DELHI,RAJASTHAN,,Chairs,iPhone,error,-5,-0.2,
ORD59,,25 Apr 2020,Rohan,Consumer,jaipur ,,,Chairs,iPhone,2500.50,1,-0.2,
ORD60,15 Mar 2020,,,Home Office,Jaipur,Delhi,Furniture,Chairs,Office Chair,1000,9,0,-200
ORD61,15 Mar 2020,,Rahul Meel,,,Delhi,Office Supplies,Chairs,Office Chair,1000,1,1.5,-200
ORD62,,20-01-2019,Rohan,,DELHI,,,Chairs,iPhone,error,8,0,
ORD63,12-01-2019,25 Apr 2020,,,Delhi,Rajasthan,Technology,Chairs,iPhone,1000,14,1.5,500
ORD64,2019/02/15,25 Apr 2020,Rohan,Corporate,Delhi,,Technology,Phones,Office Chair,error,12,,loss
ORD65,12-01-2019,2020/03/20,Amit,Home Office,Jaipur,RAJASTHAN,Office Supplies,,Binder Set,2500.50,-2,1.5,500
ORD66,not_a_date,20-01-2019,Amit,Consumer,,RAJASTHAN,Technology,Chairs,Binder Set,error,-2,1.5,loss
ORD67,15 Mar 2020,,,,Delhi,RAJASTHAN,Office Supplies,Binders,Binder Set,2500.50,-1,-0.2,500
ORD68,not_a_date,25 Apr 2020,,,DELHI,Delhi,Technology,Binders,iPhone,-300,1,1.5,loss
ORD69,15 Mar 2020,20-01-2019,Amit,,DELHI,RAJASTHAN,Technology,Binders,,1000,-3,0,500
ORD70,not_a_date,2020/03/20,Amit,Corporate,,Rajasthan,,Phones,iPhone,-300,9,0.1,
ORD71,,20-01-2019,Unknown,Corporate,Jaipur,Delhi,Office Supplies,Binders,,error,-3,,loss
,15 Mar 2020,25 Apr 2020,,Consumer,DELHI,Rajasthan,,,,2500.50,5,0.1,500
ORD73,15 Mar 2020,25 Apr 2020,,,jaipur ,Delhi,Office Supplies,,Office Chair,1000,6,,
ORD74,not_a_date,2020/03/20,Unknown,,DELHI,Rajasthan,,Phones,iPhone,,1,0,
ORD75,2019/02/15,2020/03/20,,,Jaipur,RAJASTHAN,,Chairs,,1000,10,0,loss
ORD76,not_a_date,2020/03/20,,Corporate,DELHI,Delhi,Furniture,Chairs,Binder Set,,3,0.1,loss
ORD77,15 Mar 2020,,Unknown,Consumer,Delhi,Rajasthan,,Phones,iPhone,1000,5,-0.2,
ORD78,15 Mar 2020,20-01-2019,,Home Office,Jaipur,Delhi,,,Binder Set,2500.50,1,,500
ORD79,2019/02/15,20-01-2019,Amit,Corporate,Delhi,Delhi,Technology,,Office Chair,error,4,-0.2,
ORD80,12-01-2019,20-01-2019,,,Delhi,RAJASTHAN,Technology,Binders,Office Chair,2500.50,12,0,500
ORD81,2019/02/15,,Rahul Meel,Consumer,,Delhi,Office Supplies,Binders,,1000,7,1.5,-200
ORD82,12-01-2019,20-01-2019,Amit,Consumer,Jaipur,,Furniture,Binders,Office Chair,,-5,,loss
ORD83,15 Mar 2020,2020/03/20,Rahul Meel,Home Office,Delhi,Rajasthan,Office Supplies,Binders,Office Chair,2500.50,0,,-200
ORD84,,20-01-2019,Rohan,,,,Technology,Chairs,Office Chair,2500.50,9,0,500
ORD85,,,Rahul Meel,Corporate,,Delhi,Office Supplies,Phones,iPhone,,9,-0.2,500
ORD86,not_a_date,,Rohan,Corporate,Delhi,Rajasthan,Technology,Binders,Binder Set,-300,13,1.5,
ORD87,2019/02/15,20-01-2019,Rahul Meel,Corporate,Delhi,,Technology,Chairs,Binder Set,1000,11,0.1,
ORD88,2019/02/15,,Rohan,,jaipur ,,Office Supplies,Chairs,Binder Set,2500.50,-5,1.5,
ORD89,,,Rohan,,Jaipur,RAJASTHAN,Technology,Binders,iPhone,2500.50,9,-0.2,500
ORD90,12-01-2019,20-01-2019,Amit,,,,Technology,Chairs,Binder Set,1000,8,0,loss
ORD91,2019/02/15,,,Corporate,Jaipur,Delhi,Furniture,Binders,,,0,1.5,-200
ORD92,12-01-2019,,,,,Rajasthan,Furniture,Phones,Binder Set,1000,-3,0.1,-200
ORD93,12-01-2019,20-01-2019,Amit,,DELHI,Delhi,Technology,,iPhone,error,8,-0.2,-200
ORD94,12-01-2019,2020/03/20,Rohan,,DELHI,,Technology,Phones,Binder Set,error,7,1.5,-200
ORD95,12-01-2019,2020/03/20,,Home Office,,Delhi,,Binders,iPhone,2500.50,3,1.5,-200
ORD96,not_a_date,,,Home Office,jaipur ,,,,,error,6,1.5,loss
ORD97,not_a_date,25 Apr 2020,Rahul Meel,,DELHI,RAJASTHAN,Technology,Binders,Binder Set,1000,9,0,-200
,,25 Apr 2020,,,Jaipur,Delhi,Furniture,,Office Chair,2500.50,14,1.5,500
ORD99,not_a_date,20-01-2019,Amit,Corporate,Delhi,Delhi,Technology,Binders,Office Chair,error,-5,0,-200
,2019/02/15,20-01-2019,,Consumer,Jaipur,RAJASTHAN,Furniture,Chairs,iPhone,,5,0.1,500
ORD101,not_a_date,2020/03/20,Rohan,,Jaipur,Delhi,Furniture,Binders,iPhone,error,8,0,loss
ORD102,2019/02/15,25 Apr 2020,Rahul Meel,Corporate,Jaipur,,,Chairs,iPhone,,-4,0.1,
ORD103,2019/02/15,20-01-2019,,Corporate,,RAJASTHAN,Technology,,iPhone,error,2,,loss
ORD104,12-01-2019,25 Apr 2020,Unknown,Consumer,,Delhi,Furniture,Binders,Office Chair,,5,,-200
ORD105,,25 Apr 2020,Rahul Meel,Corporate,Jaipur,,Technology,Phones,Office Chair,1000,14,0.1,loss
ORD106,12-01-2019,,Amit,Consumer,Delhi,,Office Supplies,Phones,,1000,6,0,500
ORD107,12-01-2019,,Rohan,,jaipur ,Rajasthan,Office Supplies,,,-300,11,0,
ORD108,not_a_date,25 Apr 2020,Rahul Meel,Home Office,jaipur ,Rajasthan,,Binders,,1000,6,-0.2,
ORD109,not_a_date,2020/03/20,Rahul Meel,Consumer,DELHI,Rajasthan,Office Supplies,Chairs,Office Chair,error,14,,loss
ORD110,2019/02/15,20-01-2019,Rahul Meel,,DELHI,RAJASTHAN,Office Supplies,Phones,,2500.50,4,0,500
ORD111,not_a_date,20-01-2019,,,Delhi,,Technology,Chairs,iPhone,,-3,-0.2,-200
ORD112,not_a_date,2020/03/20,Rohan,Home Office,Jaipur,RAJASTHAN,,,,1000,-2,,
ORD113,15 Mar 2020,,,Corporate,,RAJASTHAN,,,Office Chair,2500.50,-1,0,-200
ORD114,2019/02/15,,Rahul Meel,Consumer,DELHI,RAJASTHAN,Office Supplies,,Office Chair,,10,0.1,500
ORD115,2019/02/15,2020/03/20,,Consumer,Jaipur,RAJASTHAN,Technology,,,,4,1.5,loss
ORD116,15 Mar 2020,2020/03/20,,Corporate,jaipur ,RAJASTHAN,Technology,Binders,iPhone,,-2,1.5,
ORD117,2019/02/15,,Amit,Home Office,Delhi,Delhi,,Chairs,iPhone,1000,6,,loss
ORD118,,25 Apr 2020,,Consumer,,Rajasthan,Technology,,Binder Set,,9,-0.2,-200
ORD119,,,,Consumer,,RAJASTHAN,Technology,Phones,Office Chair,-300,-4,,loss
ORD120,15 Mar 2020,25 Apr 2020,Amit,Corporate,DELHI,Delhi,,Phones,iPhone,1000,-5,-0.2,loss
ORD121,not_a_date,20-01-2019,Amit,,Jaipur,Delhi,Technology,Chairs,,2500.50,14,0.1,
ORD122,,20-01-2019,Unknown,Home Office,,,Furniture,,Office Chair,-300,7,1.5,loss
ORD123,15 Mar 2020,25 Apr 2020,,,jaipur ,RAJASTHAN,,Chairs,Office Chair,-300,12,0,
ORD124,,25 Apr 2020,Unknown,,jaipur ,Rajasthan,Office Supplies,Binders,Office Chair,1000,3,-0.2,-200
ORD125,12-01-2019,,,Corporate,Delhi,,Furniture,Phones,Office Chair,,9,0,500
ORD126,15 Mar 2020,2020/03/20,Rohan,Consumer,Delhi,RAJASTHAN,Furniture,Binders,iPhone,-300,12,-0.2,loss
ORD127,2019/02/15,25 Apr 2020,,Corporate,jaipur ,,,Binders,,error,-4,0,-200
,,20-01-2019,,,jaipur ,Rajasthan,Office Supplies,Binders,,2500.50,14,1.5,-200
ORD129,2019/02/15,,Rohan,Corporate,Jaipur,Rajasthan,,Phones,Binder Set,error,13,,loss
ORD130,15 Mar 2020,20-01-2019,Unknown,Home Office,,RAJASTHAN,Technology,Chairs,Office Chair,1000,-2,1.5,loss
ORD131,,,,,Jaipur,Rajasthan,,Phones,Binder Set,-300,12,-0.2,-200
ORD132,2019/02/15,2020/03/20,Rohan,,Delhi,Rajasthan,Technology,Phones,Office Chair,,8,1.5,
ORD133,not_a_date,2020/03/20,Rohan,Home Office,Delhi,Rajasthan,Office Supplies,,,,7,,
ORD134,not_a_date,20-01-2019,Amit,Corporate,Delhi,RAJASTHAN,,Chairs,,-300,1,,500
ORD135,12-01-2019,25 Apr 2020,Rahul Meel,Corporate,,,Office Supplies,Binders,,-300,8,0,-200
ORD136,15 Mar 2020,25 Apr 2020,Rahul Meel,Corporate,DELHI,,Office Supplies,,Binder Set,,13,0.1,500
ORD137,2019/02/15,20-01-2019,Rahul Meel,Consumer,Delhi,,Furniture,Phones,,2500.50,7,0.1,-200
ORD138,12-01-2019,25 Apr 2020,Rohan,,Delhi,,,Phones,iPhone,1000,7,-0.2,-200
ORD139,15 Mar 2020,25 Apr 2020,,Home Office,Jaipur,,,Chairs,Office Chair,2500.50,8,-0.2,-200
ORD140,not_a_date,20-01-2019,Unknown,,Jaipur,,Furniture,Binders,,,12,0.1,-200
ORD141,2019/02/15,20-01-2019,Rahul Meel,Consumer,DELHI,,Office Supplies,Phones,Office Chair,1000,13,-0.2,
ORD142,,2020/03/20,,,DELHI,Rajasthan,,Binders,,1000,-4,,-200
ORD143,not_a_date,20-01-2019,,Home Office,DELHI,,Office Supplies,Phones,Binder Set,,4,0.1,500
ORD144,,2020/03/20,Unknown,Home Office,DELHI,Rajasthan,Office Supplies,,iPhone,,5,0,
,,2020/03/20,Unknown,,Jaipur,Delhi,,Chairs,Office Chair,-300,7,1.5,loss
ORD146,2019/02/15,,Rahul Meel,Consumer,Delhi,RAJASTHAN,Office Supplies,Phones,Binder Set,-300,11,0,500
ORD147,2019/02/15,25 Apr 2020,Rohan,,Jaipur,Rajasthan,Furniture,Phones,,-300,2,,loss
ORD148,,20-01-2019,Amit,Consumer,jaipur ,RAJASTHAN,Office Supplies,,iPhone,,13,,500
ORD149,12-01-2019,25 Apr 2020,Rohan,Corporate,jaipur ,RAJASTHAN,Office Supplies,,iPhone,2500.50,1,1.5,loss
ORD150,,,Unknown,Home Office,Delhi,Delhi,,Binders,Binder Set,1000,-3,0,500
ORD151,,20-01-2019,,,DELHI,,Office Supplies,Binders,iPhone,2500.50,2,,loss
ORD152,2019/02/15,20-01-2019,,Home Office,Delhi,Delhi,Office Supplies,Phones,Office Chair,error,9,1.5,loss
ORD153,15 Mar 2020,,Unknown,Home Office,jaipur ,Rajasthan,,,,2500.50,0,0,
ORD154,not_a_date,25 Apr 2020,Rohan,,Delhi,Rajasthan,Technology,Binders,iPhone,error,3,,500
ORD155,2019/02/15,2020/03/20,Unknown,Corporate,DELHI,Rajasthan,Technology,Chairs,,error,11,0.1,-200
ORD156,12-01-2019,,Amit,Home Office,Jaipur,RAJASTHAN,Office Supplies,Phones,iPhone,1000,-5,1.5,500
ORD157,not_a_date,,Amit,Home Office,DELHI,,Furniture,Phones,Office Chair,1000,12,0.1,loss
ORD158,2019/02/15,20-01-2019,,Consumer,Jaipur,,,,,error,8,1.5,-200
ORD159,2019/02/15,2020/03/20,Rahul Meel,Consumer,jaipur ,,,Phones,Office Chair,,9,,500
ORD160,15 Mar 2020,,Rohan,Corporate,,Delhi,Technology,Phones,iPhone,error,14,,loss
ORD161,12-01-2019,25 Apr 2020,Unknown,,Delhi,Delhi,Furniture,Binders,Binder Set,-300,7,0.1,
ORD162,12-01-2019,,Rohan,Home Office,,Rajasthan,Technology,Chairs,,1000,3,1.5,500
ORD163,2019/02/15,25 Apr 2020,Amit,Corporate,DELHI,,Technology,,,2500.50,-1,-0.2,
ORD164,15 Mar 2020,20-01-2019,,,Jaipur,,Office Supplies,Phones,Office Chair,1000,12,0,loss
ORD165,2019/02/15,,Rohan,Consumer,DELHI,Delhi,,Phones,Office Chair,,3,0,500
ORD166,,25 Apr 2020,Amit,Home Office,DELHI,RAJASTHAN,Office Supplies,,Binder Set,-300,3,0,loss
ORD167,,20-01-2019,,Home Office,jaipur ,,Office Supplies,Binders,Office Chair,,1,0,loss
,15 Mar 2020,20-01-2019,Rahul Meel,,DELHI,Rajasthan,Furniture,Binders,Binder Set,2500.50,-2,,500
ORD169,2019/02/15,20-01-2019,Rahul Meel,Corporate,Delhi,,,Binders,Office Chair,1000,-1,1.5,loss
ORD170,15 Mar 2020,,Amit,Home Office,jaipur ,Delhi,Furniture,Phones,iPhone,2500.50,-5,0.1,500
,2019/02/15,20-01-2019,Amit,Home Office,,,Furniture,Binders,iPhone,-300,9,0.1,500
ORD172,2019/02/15,20-01-2019,Rahul Meel,Consumer,DELHI,Rajasthan,Office Supplies,,Binder Set,2500.50,3,,
ORD173,,25 Apr 2020,Amit,Corporate,,RAJASTHAN,Technology,Phones,iPhone,error,-4,,500
ORD174,not_a_date,20-01-2019,,Consumer,Delhi,RAJASTHAN,,,Binder Set,-300,6,0,
ORD175,12-01-2019,,Rohan,,Delhi,Rajasthan,Technology,Binders,iPhone,,-3,-0.2,-200
ORD176,12-01-2019,2020/03/20,,,Delhi,Rajasthan,,Binders,Binder Set,,-4,0,loss
ORD177,15 Mar 2020,20-01-2019,,Corporate,,,Technology,Chairs,,2500.50,-5,,loss
ORD178,12-01-2019,,Amit,Consumer,,,Office Supplies,Binders,Binder Set,-300,4,0.1,
ORD179,,20-01-2019,Amit,,Jaipur,Delhi,,Phones,iPhone,2500.50,2,1.5,loss
ORD180,not_a_date,,,Corporate,jaipur ,RAJASTHAN,Technology,,Office Chair,error,0,0,-200
ORD181,2019/02/15,20-01-2019,Rohan,,DELHI,RAJASTHAN,Technology,Chairs,,-300,13,-0.2,500
ORD182,2019/02/15,25 Apr 2020,Rahul Meel,Home Office,jaipur ,Rajasthan,,Chairs,Office Chair,1000,13,0,
ORD183,,2020/03/20,,Home Office,Delhi,Delhi,Furniture,Binders,,,-3,-0.2,-200
ORD184,12-01-2019,2020/03/20,Rohan,Corporate,DELHI,,Furniture,Binders,,2500.50,7,0,500
ORD185,2019/02/15,,Rahul Meel,,Jaipur,Rajasthan,,,Binder Set,error,14,-0.2,500
ORD186,12-01-2019,,Rahul Meel,Corporate,jaipur ,Rajasthan,Office Supplies,Chairs,Binder Set,,4,0.1,500
ORD187,,2020/03/20,Amit,Corporate,Delhi,Rajasthan,,Chairs,,-300,4,1.5,-200
ORD188,2019/02/15,25 Apr 2020,,Corporate,DELHI,RAJASTHAN,,,iPhone,,8,0.1,-200
ORD189,15 Mar 2020,25 Apr 2020,Unknown,Home Office,DELHI,,Technology,Binders,,,-5,0,
ORD190,not_a_date,20-01-2019,Amit,Corporate,Delhi,,Office Supplies,Chairs,iPhone,1000,7,1.5,-200
ORD191,12-01-2019,25 Apr 2020,Unknown,Home Office,,Rajasthan,Furniture,,,1000,6,-0.2,-200
ORD192,12-01-2019,2020/03/20,,Home Office,jaipur ,Rajasthan,Technology,Phones,iPhone,error,0,0.1,
ORD193,12-01-2019,2020/03/20,Amit,,DELHI,Delhi,Technology,Chairs,Binder Set,error,3,1.5,
ORD194,12-01-2019,25 Apr 2020,,Corporate,,,Furniture,Binders,,2500.50,0,0,
ORD195,,25 Apr 2020,Amit,,Jaipur,Rajasthan,Technology,,,1000,14,1.5,loss
ORD196,,2020/03/20,,Home Office,DELHI,Delhi,Office Supplies,Phones,iPhone,-300,0,,-200
ORD197,,2020/03/20,Unknown,Corporate,DELHI,Rajasthan,Technology,Phones,iPhone,2500.50,7,-0.2,
ORD198,,2020/03/20,Rohan,Home Office,Jaipur,RAJASTHAN,Furniture,Binders,,-300,-3,-0.2,500
ORD199,2019/02/15,2020/03/20,Rohan,Corporate,Jaipur,Rajasthan,Furniture,,iPhone,1000,-1,1.5,
ORD200,,2020/03/20,Unknown,Corporate,DELHI,RAJASTHAN,Office Supplies,Chairs,Binder Set,-300,4,0.1,500
ORD201,2019/02/15,25 Apr 2020,Unknown,Consumer,Delhi,,Office Supplies,Binders,Binder Set,-300,14,1.5,500
ORD202,15 Mar 2020,25 Apr 2020,Amit,,Jaipur,Rajasthan,,Phones,,1000,10,1.5,loss
ORD203,,20-01-2019,Rohan,Consumer,,,,Chairs,,1000,14,0,
ORD204,15 Mar 2020,20-01-2019,Rahul Meel,Corporate,Jaipur,,Furniture,Phones,iPhone,,12,1.5,
,,,,Consumer,DELHI,,Office Supplies,,Binder Set,-300,13,-0.2,
ORD206,15 Mar 2020,20-01-2019,Unknown,Home Office,DELHI,RAJASTHAN,Furniture,Chairs,Office Chair,2500.50,6,0,
ORD207,not_a_date,25 Apr 2020,,Corporate,jaipur ,,Office Supplies,Binders,Binder Set,error,9,1.5,-200
,15 Mar 2020,20-01-2019,,Corporate,,,Furniture,Phones,iPhone,,-5,1.5,loss
ORD209,2019/02/15,20-01-2019,Amit,Corporate,jaipur ,RAJASTHAN,Office Supplies,Binders,iPhone,error,1,-0.2,loss
ORD210,12-01-2019,25 Apr 2020,Rohan,Consumer,Jaipur,Rajasthan,Office Supplies,Phones,,2500.50,-2,0,loss
ORD211,15 Mar 2020,2020/03/20,Rohan,,jaipur ,,,Chairs,Binder Set,2500.50,9,,
ORD212,12-01-2019,25 Apr 2020,Rahul Meel,,DELHI,Delhi,,Binders,,1000,10,1.5,500
ORD213,not_a_date,25 Apr 2020,Rohan,,Delhi,RAJASTHAN,,Binders,iPhone,-300,1,,loss
ORD214,not_a_date,,Amit,Consumer,Jaipur,RAJASTHAN,Office Supplies,Phones,,1000,2,-0.2,loss
ORD215,2019/02/15,,Amit,Home Office,DELHI,Rajasthan,Office Supplies,,,-300,10,0.1,
ORD216,2019/02/15,,,Consumer,Jaipur,Delhi,,,,,12,0.1,
ORD217,15 Mar 2020,2020/03/20,,,jaipur ,RAJASTHAN,,Binders,,1000,11,1.5,500
ORD218,,20-01-2019,,Consumer,jaipur ,Rajasthan,Technology,,Office Chair,1000,6,1.5,500
ORD219,not_a_date,,,Home Office,Jaipur,,Furniture,Binders,iPhone,2500.50,-3,-0.2,
ORD220,12-01-2019,25 Apr 2020,,Corporate,Jaipur,,,Chairs,Binder Set,-300,10,0,500
ORD221,,,,Corporate,jaipur ,RAJASTHAN,Furniture,,,2500.50,2,1.5,loss
ORD222,not_a_date,25 Apr 2020,,,Jaipur,Rajasthan,Technology,Binders,Binder Set,1000,-1,0.1,500
ORD223,15 Mar 2020,2020/03/20,Rahul Meel,,jaipur ,,Office Supplies,Binders,Binder Set,-300,6,-0.2,-200
ORD224,not_a_date,,,Home Office,Jaipur,,Office Supplies,Chairs,Binder Set,-300,-1,0,
ORD225,2019/02/15,25 Apr 2020,Rohan,Consumer,Delhi,Rajasthan,Furniture,Phones,iPhone,,3,-0.2,
ORD226,12-01-2019,20-01-2019,Unknown,Home Office,Jaipur,,Furniture,Chairs,,2500.50,3,1.5,loss
ORD227,12-01-2019,2020/03/20,Rahul Meel,Home Office,Jaipur,,Furniture,Phones,Binder Set,,3,0.1,-200
ORD228,2019/02/15,25 Apr 2020,Rohan,Corporate,DELHI,Delhi,Technology,Binders,,2500.50,2,-0.2,
ORD229,,20-01-2019,,Consumer,Delhi,Rajasthan,Furniture,Chairs,,2500.50,2,0.1,500
ORD230,2019/02/15,20-01-2019,Amit,Corporate,jaipur ,,,Phones,Binder Set,-300,-4,1.5,
ORD231,12-01-2019,25 Apr 2020,,Corporate,jaipur ,Delhi,,Chairs,Office Chair,-300,12,-0.2,-200
ORD232,15 Mar 2020,,,Home Office,,,Technology,,iPhone,error,9,0,-200
ORD233,,20-01-2019,Amit,Corporate,Delhi,Rajasthan,Technology,,,1000,10,1.5,500
ORD234,not_a_date,2020/03/20,,,Delhi,Rajasthan,Furniture,Binders,,,10,0.1,500
ORD235,15 Mar 2020,20-01-2019,Rahul Meel,,Jaipur,,Furniture,Phones,Office Chair,error,-5,1.5,loss
ORD236,,,,Corporate,DELHI,RAJASTHAN,Furniture,Chairs,iPhone,,0,0,-200
,12-01-2019,2020/03/20,,Corporate,jaipur ,Delhi,Office Supplies,Phones,Binder Set,,4,,500
ORD238,12-01-2019,2020/03/20,Amit,Consumer,jaipur ,,Office Supplies,Binders,iPhone,1000,8,,500
ORD239,15 Mar 2020,2020/03/20,Rohan,,DELHI,RAJASTHAN,,Chairs,Binder Set,,10,1.5,500
ORD240,,25 Apr 2020,,Consumer,DELHI,Delhi,Office Supplies,,Binder Set,,-4,-0.2,loss
ORD241,not_a_date,20-01-2019,Rahul Meel,Corporate,Delhi,Delhi,Furniture,Phones,Office Chair,-300,2,,loss
ORD242,not_a_date,,Amit,,DELHI,RAJASTHAN,Technology,Phones,,-300,1,1.5,500
ORD243,2019/02/15,25 Apr 2020,,Home Office,DELHI,Delhi,Technology,Phones,iPhone,-300,12,1.5,-200
